,training_iterations,random_first_wins,random_second_wins,random_first_draws,random_second_draws,random_first_losses,random_second_losses,previous_first_wins,previous_second_wins,previous_first_draws,previous_second_draws,previous_first_losses,previous_second_losses
0,0,0.0,0.2,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,0.2,0.5,0.0,0.0,0.8,0.5,0.95,1.0,0.0,0.0,0.05,0.0
2,20000,0.5,0.4,0.0,0.0,0.5,0.6,0.95,0.2,0.0,0.0,0.05,0.8
3,30000,0.55,0.65,0.0,0.0,0.45,0.35,0.05,0.9,0.0,0.0,0.95,0.1
4,40000,0.6,0.65,0.0,0.0,0.4,0.35,0.15,0.95,0.0,0.0,0.85,0.05
5,50000,0.6,0.7,0.0,0.0,0.4,0.3,1.0,0.9,0.0,0.0,0.0,0.1
6,60000,0.65,0.8,0.0,0.0,0.35,0.2,0.95,0.7,0.0,0.0,0.05,0.3
7,70000,0.65,0.9,0.0,0.0,0.35,0.1,0.95,0.9,0.0,0.0,0.05,0.1
8,80000,0.9,1.0,0.0,0.0,0.1,0.0,0.9,0.95,0.0,0.0,0.1,0.05
9,90000,0.9,1.0,0.0,0.0,0.1,0.0,1.0,0.9,0.0,0.0,0.0,0.1
10,100000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.05
11,110000,0.95,1.0,0.0,0.0,0.05,0.0,0.25,0.95,0.0,0.0,0.75,0.05
12,120000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
13,130000,1.0,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.1,0.0
14,140000,1.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.9,0.0
15,150000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16,160000,1.0,1.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.6,0.0
17,170000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,1.0,0.0,0.0,0.05,0.0
18,180000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.15,0.0,0.0,0.0,0.85
19,190000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.05
20,200000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.05
21,210000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.1
